"downloaded","language","form","measure","age","a","a lot","about","above","after","all","am","an","and","any","are","at","be","before","because","but","yourself","you","your","yes","with","will","when","us","some","so","she","our","another","around","by","can (auxiliary)","could","don't","each","every","for","he","her","hers","him","his","I","if","is","into","inside/in","it","my","myself","no","none","not","of","on","other","would","why","who","which","where","what","were","we","was","up","under","too","to","this","there","the","that","their","these","they","them","then","those","over","off","more","mine","me","much","how"
2025-01-25,"English (American)","WS","produces",16,0.04,0,0,0.01,0,0.03,0.01,0,0.01,0,0,0.02,0,0,0,0.01,0,0.07,0,0.31,0,0,0,0,0.02,0,0,0,0.01,0,0.01,0.01,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0.05,0.02,0.06,0,0.56,0.01,0.01,0,0.12,0,0,0.02,0.03,0,0.04,0.11,0,0,0,0.28,0.01,0.01,0.01,0.12,0.02,0.02,0.13,0,0.02,0,0,0,0.01,0.01,0.12,0.22,0.2,0.11,0.01,0
2025-01-25,"English (American)","WS","produces",17,0.04,0.01,0,0.01,0,0.04,0.01,0,0.01,0.01,0.01,0.02,0.02,0,0,0.01,0,0.07,0.01,0.42,0,0.01,0,0,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.01,0.01,0.04,0,0,0,0.01,0.01,0.01,0.01,0.01,0.09,0.01,0.01,0.01,0.07,0.05,0.06,0.01,0.67,0.02,0.01,0.01,0.15,0.01,0,0.05,0.03,0.01,0.06,0.13,0.01,0.02,0.01,0.35,0.02,0.03,0.02,0.13,0.04,0.02,0.16,0.01,0.02,0.01,0,0.01,0,0.02,0.15,0.29,0.23,0.19,0.01,0.01
2025-01-25,"English (American)","WS","produces",18,0.07,0.02,0,0.01,0.02,0.06,0.02,0,0.02,0.01,0.01,0.03,0.01,0.01,0,0.01,0,0.14,0,0.48,0.01,0.01,0.01,0,0.06,0.01,0.03,0,0.03,0.01,0.02,0.01,0.01,0.07,0.01,0.01,0.01,0.02,0.01,0.01,0,0,0.12,0.01,0.03,0.01,0.13,0.07,0.08,0.01,0.74,0.03,0.03,0,0.21,0.02,0,0.07,0.04,0.02,0.09,0.16,0.01,0.01,0,0.43,0.03,0.06,0.02,0.15,0.08,0.03,0.14,0,0.03,0,0,0,0.01,0.02,0.26,0.39,0.36,0.24,0.02,0.02
2025-01-25,"English (American)","WS","produces",19,0.12,0.05,0,0.02,0.02,0.12,0.03,0.02,0.05,0.03,0.02,0.04,0.04,0.01,0.03,0.03,0.01,0.2,0.04,0.59,0.05,0.03,0.02,0.02,0.1,0.04,0.05,0.02,0.06,0.04,0.04,0.07,0.02,0.11,0.02,0.02,0.03,0.04,0.04,0.02,0.04,0.02,0.23,0.02,0.06,0.01,0.23,0.13,0.2,0.02,0.81,0.05,0.05,0.04,0.31,0.04,0.01,0.11,0.05,0.01,0.11,0.22,0.01,0.03,0.03,0.56,0.07,0.09,0.06,0.2,0.11,0.09,0.21,0.01,0.04,0.02,0.03,0.02,0.03,0.05,0.36,0.47,0.45,0.35,0.04,0.03
2025-01-25,"English (American)","WS","produces",20,0.14,0.05,0.03,0.03,0.03,0.13,0.07,0.02,0.09,0.03,0.04,0.07,0.04,0.01,0.04,0.03,0.02,0.25,0.04,0.61,0.04,0.03,0.03,0.02,0.14,0.04,0.04,0.03,0.07,0.07,0.06,0.07,0.03,0.19,0.01,0.01,0.04,0.07,0.04,0.03,0.04,0.04,0.24,0.02,0.08,0.02,0.26,0.15,0.22,0.01,0.82,0.06,0.06,0.01,0.33,0.03,0.02,0.13,0.1,0.02,0.15,0.25,0.01,0.04,0.01,0.51,0.1,0.11,0.06,0.22,0.15,0.09,0.25,0.02,0.07,0.03,0.03,0.02,0.05,0.07,0.35,0.5,0.51,0.39,0.03,0.05
2025-01-25,"English (American)","WS","produces",21,0.17,0.06,0.03,0.03,0.06,0.17,0.06,0.02,0.09,0.04,0.04,0.09,0.06,0.03,0.03,0.04,0,0.29,0.06,0.74,0.05,0.04,0.03,0.02,0.15,0.05,0.08,0.03,0.08,0.06,0.08,0.09,0.02,0.16,0.01,0.02,0.04,0.11,0.06,0.04,0.06,0.06,0.29,0.02,0.07,0.02,0.26,0.17,0.24,0.03,0.86,0.08,0.12,0.02,0.43,0.08,0.01,0.14,0.1,0.02,0.19,0.26,0.02,0.05,0.03,0.58,0.13,0.17,0.1,0.21,0.22,0.11,0.25,0.02,0.09,0.02,0.03,0.02,0.05,0.1,0.45,0.51,0.62,0.47,0.04,0.05
2025-01-25,"English (American)","WS","produces",22,0.25,0.1,0.04,0.04,0.08,0.21,0.1,0.04,0.17,0.05,0.07,0.13,0.08,0.05,0.07,0.07,0.01,0.37,0.06,0.79,0.13,0.06,0.02,0.05,0.24,0.09,0.1,0.04,0.11,0.06,0.11,0.15,0.02,0.21,0.04,0.02,0.08,0.15,0.09,0.06,0.08,0.06,0.34,0.04,0.17,0.05,0.41,0.26,0.3,0.05,0.9,0.08,0.12,0.03,0.52,0.1,0.03,0.18,0.15,0.02,0.27,0.38,0.02,0.1,0.06,0.65,0.15,0.26,0.13,0.3,0.22,0.18,0.34,0.03,0.12,0.04,0.06,0.03,0.05,0.14,0.52,0.57,0.65,0.48,0.07,0.09
2025-01-25,"English (American)","WS","produces",23,0.28,0.17,0.03,0.04,0.12,0.34,0.13,0.03,0.32,0.09,0.1,0.16,0.13,0.06,0.1,0.08,0.03,0.47,0.14,0.83,0.18,0.09,0.07,0.07,0.29,0.08,0.13,0.08,0.19,0.13,0.15,0.22,0.04,0.29,0.03,0.07,0.13,0.19,0.13,0.09,0.13,0.1,0.44,0.03,0.19,0.08,0.49,0.3,0.39,0.12,0.88,0.16,0.19,0.07,0.59,0.2,0.03,0.29,0.2,0.04,0.41,0.46,0.05,0.11,0.09,0.71,0.3,0.3,0.24,0.35,0.38,0.22,0.41,0.06,0.14,0.08,0.07,0.08,0.1,0.23,0.61,0.71,0.67,0.59,0.1,0.13
2025-01-25,"English (American)","WS","produces",24,0.29,0.19,0.06,0.08,0.18,0.33,0.18,0.04,0.3,0.12,0.14,0.2,0.12,0.08,0.11,0.07,0.04,0.46,0.15,0.85,0.22,0.09,0.07,0.07,0.32,0.11,0.17,0.08,0.21,0.12,0.15,0.22,0.04,0.35,0.05,0.07,0.15,0.2,0.15,0.1,0.13,0.13,0.43,0.03,0.2,0.08,0.52,0.3,0.45,0.13,0.93,0.15,0.23,0.09,0.62,0.17,0.03,0.26,0.23,0.05,0.43,0.49,0.04,0.14,0.09,0.7,0.3,0.38,0.24,0.4,0.4,0.26,0.42,0.05,0.17,0.09,0.08,0.06,0.12,0.24,0.61,0.7,0.72,0.59,0.14,0.14
2025-01-25,"English (American)","WS","produces",25,0.37,0.26,0.08,0.11,0.23,0.38,0.25,0.09,0.36,0.15,0.16,0.25,0.17,0.12,0.14,0.11,0.06,0.58,0.23,0.91,0.26,0.14,0.12,0.11,0.4,0.14,0.22,0.11,0.29,0.21,0.25,0.31,0.07,0.45,0.06,0.11,0.23,0.26,0.21,0.14,0.18,0.18,0.6,0.08,0.27,0.11,0.55,0.4,0.55,0.17,0.93,0.18,0.29,0.1,0.68,0.26,0.07,0.33,0.28,0.08,0.49,0.56,0.07,0.19,0.11,0.76,0.4,0.42,0.31,0.47,0.46,0.29,0.51,0.08,0.23,0.12,0.13,0.08,0.16,0.31,0.66,0.74,0.79,0.7,0.16,0.17
2025-01-25,"English (American)","WS","produces",26,0.39,0.27,0.11,0.12,0.24,0.43,0.24,0.09,0.45,0.21,0.21,0.33,0.21,0.15,0.2,0.14,0.07,0.62,0.26,0.88,0.33,0.17,0.17,0.12,0.42,0.16,0.29,0.13,0.32,0.23,0.26,0.3,0.12,0.43,0.07,0.13,0.27,0.31,0.22,0.13,0.21,0.18,0.6,0.09,0.33,0.13,0.61,0.4,0.57,0.19,0.93,0.21,0.34,0.14,0.71,0.27,0.07,0.39,0.29,0.08,0.5,0.57,0.11,0.2,0.15,0.75,0.42,0.49,0.36,0.52,0.49,0.37,0.53,0.11,0.29,0.17,0.18,0.15,0.17,0.38,0.7,0.74,0.79,0.67,0.19,0.24
2025-01-25,"English (American)","WS","produces",27,0.47,0.35,0.11,0.17,0.31,0.48,0.33,0.12,0.49,0.31,0.27,0.38,0.24,0.18,0.27,0.2,0.1,0.69,0.28,0.9,0.4,0.22,0.24,0.17,0.47,0.22,0.36,0.19,0.35,0.28,0.36,0.43,0.14,0.51,0.13,0.17,0.36,0.43,0.31,0.22,0.29,0.26,0.62,0.12,0.41,0.19,0.62,0.47,0.58,0.22,0.95,0.26,0.41,0.2,0.75,0.32,0.12,0.5,0.44,0.13,0.61,0.71,0.14,0.34,0.22,0.75,0.48,0.52,0.44,0.52,0.6,0.44,0.58,0.17,0.33,0.22,0.23,0.2,0.23,0.42,0.73,0.8,0.81,0.78,0.21,0.29
2025-01-25,"English (American)","WS","produces",28,0.54,0.42,0.13,0.2,0.33,0.55,0.43,0.17,0.56,0.28,0.34,0.37,0.3,0.19,0.31,0.26,0.15,0.74,0.35,0.92,0.42,0.29,0.22,0.19,0.52,0.25,0.36,0.22,0.38,0.33,0.37,0.45,0.18,0.61,0.12,0.21,0.36,0.45,0.34,0.24,0.34,0.29,0.66,0.15,0.46,0.23,0.68,0.53,0.66,0.3,0.93,0.32,0.47,0.25,0.77,0.36,0.14,0.5,0.45,0.14,0.64,0.72,0.19,0.31,0.28,0.82,0.53,0.56,0.47,0.56,0.6,0.49,0.63,0.18,0.31,0.28,0.26,0.21,0.28,0.48,0.74,0.85,0.81,0.77,0.26,0.28
2025-01-25,"English (American)","WS","produces",29,0.56,0.54,0.25,0.25,0.48,0.64,0.52,0.19,0.66,0.39,0.4,0.51,0.39,0.35,0.39,0.35,0.15,0.81,0.48,0.95,0.56,0.39,0.34,0.28,0.6,0.32,0.5,0.3,0.47,0.4,0.46,0.6,0.26,0.61,0.18,0.33,0.49,0.59,0.46,0.31,0.42,0.4,0.72,0.23,0.52,0.3,0.74,0.61,0.75,0.34,0.95,0.37,0.57,0.3,0.82,0.44,0.18,0.62,0.51,0.26,0.71,0.76,0.22,0.43,0.36,0.84,0.65,0.65,0.57,0.61,0.68,0.53,0.67,0.28,0.43,0.38,0.32,0.32,0.37,0.55,0.79,0.88,0.88,0.83,0.34,0.43
2025-01-25,"English (American)","WS","produces",30,0.65,0.59,0.31,0.32,0.55,0.71,0.58,0.22,0.72,0.45,0.5,0.52,0.47,0.41,0.49,0.4,0.25,0.81,0.54,0.95,0.63,0.47,0.44,0.35,0.69,0.38,0.55,0.35,0.56,0.47,0.48,0.67,0.3,0.72,0.24,0.36,0.52,0.62,0.51,0.37,0.48,0.47,0.79,0.29,0.61,0.41,0.81,0.66,0.77,0.46,0.97,0.44,0.58,0.34,0.87,0.48,0.26,0.63,0.64,0.28,0.78,0.8,0.29,0.51,0.42,0.87,0.73,0.72,0.61,0.69,0.73,0.64,0.71,0.29,0.46,0.46,0.38,0.39,0.42,0.63,0.84,0.89,0.87,0.84,0.41,0.51
